./gridbenchmark --no-verify --size 256x256x64 --threads 1x1x1 32x1x1 64x1x1 128x1x1 192x1x1 256x1x1 320x1x1 384x1x1 448x1x1 512x1x1 32x1x16 8x1x64 all 
Benchmark                   , Domain size,,, Blocks     ,,, Threads    ,,, Total execution time         ,,, Kernel-only execution time     
                            ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-regular-seq           , 256, 256,  64,   1, 256,  64, 384,   1,   1,  0.003027,  0.003006,  0.003348,  0.003027,  0.003006,  0.003348
hdiff-regular-seq           , 256, 256,  64,   1, 256,  64, 448,   1,   1,  0.003006,  0.002998,  0.003118,  0.003006,  0.002998,  0.003118
hdiff-regular-seq           , 256, 256,  64,   1, 256,  64, 512,   1,   1,  0.002997,  0.002985,  0.003149,  0.002997,  0.002985,  0.003149
hdiff-regular-seq           , 256, 256,  64,   8, 256,   4,  32,   1,  16,  0.003121,  0.003042,  0.004391,  0.003120,  0.003042,  0.004391
hdiff-regular-seq           , 256, 256,  64,  32, 256,   1,   8,   1,  64,  0.003810,  0.003554,  0.006990,  0.003809,  0.003554,  0.006990
hdiff-unstr-naive           , 256, 256,  64, 256, 256,  64,   1,   1,   1,  0.058515,  0.058506,  0.058532,  0.058514,  0.058506,  0.058532
hdiff-unstr-naive           , 256, 256,  64,   8, 256,  64,  32,   1,   1,  0.002045,  0.002010,  0.002577,  0.002045,  0.002010,  0.002577
hdiff-unstr-naive           , 256, 256,  64,   4, 256,  64,  64,   1,   1,  0.002097,  0.002049,  0.002762,  0.002096,  0.002049,  0.002762
hdiff-unstr-naive           , 256, 256,  64,   2, 256,  64, 128,   1,   1,  0.002614,  0.002536,  0.003968,  0.002613,  0.002536,  0.003968
hdiff-unstr-naive           , 256, 256,  64,   2, 256,  64, 192,   1,   1,  0.002590,  0.002572,  0.002642,  0.002590,  0.002572,  0.002642
hdiff-unstr-naive           , 256, 256,  64,   1, 256,  64, 256,   1,   1,  0.002545,  0.002475,  0.003640,  0.002545,  0.002475,  0.003640
hdiff-unstr-naive           , 256, 256,  64,   1, 256,  64, 320,   1,   1,  0.003020,  0.003010,  0.003030,  0.003020,  0.003010,  0.003030
hdiff-unstr-naive           , 256, 256,  64,   1, 256,  64, 384,   1,   1,  0.003335,  0.003258,  0.004373,  0.003335,  0.003258,  0.004373
hdiff-unstr-naive           , 256, 256,  64,   1, 256,  64, 448,   1,   1,  0.003221,  0.003171,  0.004102,  0.003220,  0.003171,  0.004102
hdiff-unstr-naive           , 256, 256,  64,   1, 256,  64, 512,   1,   1,  0.003272,  0.003183,  0.004138,  0.003271,  0.003183,  0.004138
hdiff-unstr-naive           , 256, 256,  64,   8, 256,   4,  32,   1,  16,  0.002651,  0.002642,  0.002661,  0.002650,  0.002642,  0.002661
hdiff-unstr-naive           , 256, 256,  64,  32, 256,   1,   8,   1,  64,  0.002481,  0.002433,  0.003338,  0.002481,  0.002433,  0.003338
hdiff-unstr-kloop           , 256, 256,  64, 256, 256,   1,   1,   1,   1,  0.061165,  0.057958,  0.073855,  0.061164,  0.057958,  0.073855
hdiff-unstr-kloop           , 256, 256,  64,   8, 256,   1,  32,   1,   1,  0.002081,  0.002014,  0.003072,  0.002080,  0.002014,  0.003072
hdiff-unstr-kloop           , 256, 256,  64,   4, 256,   1,  64,   1,   1,  0.002040,  0.001957,  0.002855,  0.002040,  0.001957,  0.002855
hdiff-unstr-kloop           , 256, 256,  64,   2, 256,   1, 128,   1,   1,  0.002011,  0.001925,  0.002374,  0.002011,  0.001925,  0.002374
hdiff-unstr-kloop           , 256, 256,  64,   2, 256,   1, 192,   1,   1,  0.002827,  0.002688,  0.003867,  0.002826,  0.002688,  0.003867
hdiff-unstr-kloop           , 256, 256,  64,   1, 256,   1, 256,   1,   1,  0.002597,  0.002587,  0.002614,  0.002597,  0.002587,  0.002614
hdiff-unstr-kloop           , 256, 256,  64,   1, 256,   1, 320,   1,   1,  0.002849,  0.002567,  0.004217,  0.002848,  0.002567,  0.004217
hdiff-unstr-kloop           , 256, 256,  64,   1, 256,   1, 384,   1,   1,  0.002514,  0.002324,  0.003759,  0.002514,  0.002324,  0.003759
hdiff-unstr-kloop           , 256, 256,  64,   1, 256,   1, 448,   1,   1,  0.002847,  0.002477,  0.004029,  0.002847,  0.002476,  0.004029
hdiff-unstr-kloop           , 256, 256,  64,   1, 256,   1, 512,   1,   1,  0.002775,  0.002637,  0.003450,  0.002775,  0.002637,  0.003450
hdiff-unstr-idxvar          , 256, 256,  64, 256, 256,   1,   1,   1,   1,  0.058645,  0.057924,  0.063122,  0.058644,  0.057924,  0.063122
