,stencil,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
206,laplap,idxvar,False,False,False,False,64,64,64,60,30,4,32,1,2,16,49515.0,49548.0,49040.0,50150.0
207,laplap,idxvar,False,False,False,False,64,64,64,60,15,8,32,1,4,8,48040.0,47992.0,47440.0,48460.0
208,laplap,idxvar,False,False,False,False,64,64,64,60,8,16,32,1,8,4,48050.0,48086.0,47390.0,48850.0
209,laplap,idxvar,False,False,False,False,64,64,64,60,4,32,32,1,16,2,48325.0,48386.0,47780.0,49330.0
210,laplap,idxvar,False,False,False,False,64,64,64,60,2,64,32,1,32,1,48005.0,48054.0,47510.0,49790.0
211,laplap,idxvar,False,False,False,False,64,64,64,30,60,4,32,2,1,16,33995.0,33948.0,33310.0,34720.0
212,laplap,idxvar,False,False,False,False,64,64,64,30,30,8,32,2,2,8,29990.0,30048.0,29650.0,30670.0
213,laplap,idxvar,False,False,False,False,64,64,64,30,15,16,32,2,4,4,30985.0,31476.0,29920.0,39900.0
214,laplap,idxvar,False,False,False,False,64,64,64,30,8,32,32,2,8,2,30490.0,30447.0,29740.0,31270.0
215,laplap,idxvar,False,False,False,False,64,64,64,30,4,64,32,2,16,1,30090.0,30400.0,29470.0,37650.0
216,laplap,idxvar,False,False,False,False,64,64,64,15,60,8,32,4,1,8,23905.0,24119.0,23680.0,25600.0
217,laplap,idxvar,False,False,False,False,64,64,64,15,30,16,32,4,2,4,24285.0,24418.0,23910.0,25160.0
218,laplap,idxvar,False,False,False,False,64,64,64,15,15,32,32,4,4,2,23990.0,23930.0,23300.0,24440.0
219,laplap,idxvar,False,False,False,False,64,64,64,15,8,64,32,4,8,1,25985.0,25829.0,24880.0,27710.0
220,laplap,idxvar,False,False,False,False,64,64,64,8,60,16,32,8,1,4,25365.0,25415.0,24810.0,26280.0
221,laplap,idxvar,False,False,False,False,64,64,64,8,30,32,32,8,2,2,24365.0,24328.0,23830.0,24710.0
222,laplap,idxvar,False,False,False,False,64,64,64,8,15,64,32,8,4,1,24795.0,24799.0,24360.0,25390.0
223,laplap,idxvar,False,False,False,False,64,64,64,4,60,32,32,16,1,2,24250.0,24601.0,23880.0,30070.0
224,laplap,idxvar,False,False,False,False,64,64,64,4,30,64,32,16,2,1,24720.0,24790.0,24450.0,25340.0
225,laplap,idxvar,False,False,False,False,64,64,64,2,60,64,32,32,1,1,24930.0,24960.0,24560.0,25550.0
226,laplap,idxvar,False,False,False,False,64,64,64,60,60,1,64,1,1,64,62035.0,62036.0,60820.0,63630.0
227,laplap,idxvar,False,False,False,False,64,64,64,60,30,2,64,1,2,32,51905.0,52471.0,51300.0,61070.0
228,laplap,idxvar,False,False,False,False,64,64,64,60,15,4,64,1,4,16,50265.0,50336.0,49820.0,51620.0
229,laplap,idxvar,False,False,False,False,64,64,64,60,8,8,64,1,8,8,49165.0,49235.0,48270.0,51360.0
230,laplap,idxvar,False,False,False,False,64,64,64,60,4,16,64,1,16,4,50100.0,50152.0,49470.0,51350.0
231,laplap,idxvar,False,False,False,False,64,64,64,60,2,32,64,1,32,2,50305.0,50212.0,49440.0,50960.0
232,laplap,idxvar,False,False,False,False,64,64,64,30,60,2,64,2,1,32,34510.0,34716.0,33740.0,39530.0
233,laplap,idxvar,False,False,False,False,64,64,64,30,30,4,64,2,2,16,30770.0,30992.0,30180.0,35140.0
234,laplap,idxvar,False,False,False,False,64,64,64,30,15,8,64,2,4,8,30215.0,30128.0,29590.0,30860.0
235,laplap,idxvar,False,False,False,False,64,64,64,30,8,16,64,2,8,4,29980.0,30386.0,29330.0,37840.0
236,laplap,idxvar,False,False,False,False,64,64,64,30,4,32,64,2,16,2,30410.0,30507.0,30030.0,31380.0
