,stencil,precision,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
104,laplap,single,idxvar,False,False,False,False,512,512,5,8,508,1,320,64,1,5,36718.0,36613.0,35323.0,38979.0
105,laplap,single,idxvar,True,False,False,False,512,512,5,8,508,1,320,64,1,5,47670.0,47541.0,46336.0,48229.0
106,laplap,single,idxvar,True,True,False,False,512,512,5,8,508,1,320,64,1,5,45173.0,45265.0,44182.0,46180.0
107,laplap,single,idxvar,True,False,False,True,512,512,5,8,508,1,320,64,1,5,53197.0,53373.0,52028.0,56055.0
108,laplap,single,idxvar,True,True,False,True,512,512,5,8,508,1,320,64,1,5,51336.0,51230.0,49742.0,52354.0
109,laplap,single,idxvar,True,False,True,False,512,512,5,8,508,1,320,64,1,5,46567.0,46630.0,44783.0,48162.0
110,laplap,single,idxvar,True,False,True,True,512,512,5,8,508,1,320,64,1,5,40827.0,40927.0,39698.0,42674.0
111,laplap,single,idxvar,True,True,True,False,512,512,5,8,508,1,320,64,1,5,46455.0,46372.0,44987.0,47573.0
112,laplap,single,idxvar,True,True,True,True,512,512,5,8,508,1,320,64,1,5,44136.0,43973.0,42869.0,45714.0
113,laplap,single,idxvar-shared,True,False,False,False,512,512,5,8,508,1,320,64,1,5,45994.0,45974.0,44955.0,46947.0
114,laplap,single,idxvar-kloop,True,False,False,False,512,512,5,8,508,1,64,64,1,1,46725.0,46520.0,45317.0,47329.0
115,laplap,single,idxvar-kloop-sliced,True,False,False,False,512,512,5,8,508,1,320,64,1,5,64685.0,65071.0,63623.0,67005.0
116,laplap,single,naive,True,False,False,False,512,512,5,8,508,1,320,64,1,5,58396.0,58242.0,56590.0,59515.0
117,laplap,double,idxvar,False,False,False,False,512,512,5,8,508,1,320,64,1,5,45438.0,44775.0,42327.0,47930.0
118,laplap,double,idxvar,True,False,False,False,512,512,5,8,508,1,320,64,1,5,60221.0,60024.0,56815.0,62676.0
119,laplap,double,idxvar,True,True,False,False,512,512,5,8,508,1,320,64,1,5,60096.0,60096.0,57562.0,63712.0
120,laplap,double,idxvar,True,False,False,True,512,512,5,8,508,1,320,64,1,5,74446.0,73874.0,70439.0,76371.0
121,laplap,double,idxvar,True,True,False,True,512,512,5,8,508,1,320,64,1,5,74070.0,73328.0,70167.0,76331.0
122,laplap,double,idxvar,True,False,True,False,512,512,5,8,508,1,320,64,1,5,61763.0,61338.0,56922.0,63757.0
123,laplap,double,idxvar,True,False,True,True,512,512,5,8,508,1,320,64,1,5,58432.0,58645.0,54263.0,64395.0
124,laplap,double,idxvar,True,True,True,False,512,512,5,8,508,1,320,64,1,5,64203.0,64565.0,60838.0,76488.0
125,laplap,double,idxvar,True,True,True,True,512,512,5,8,508,1,320,64,1,5,62920.0,62831.0,59962.0,65474.0
126,laplap,double,idxvar-shared,True,False,False,False,512,512,5,8,508,1,320,64,1,5,63828.0,63352.0,58481.0,66798.0
127,laplap,double,idxvar-kloop,True,False,False,False,512,512,5,8,508,1,64,64,1,1,69649.0,68994.0,63712.0,74387.0
128,laplap,double,idxvar-kloop-sliced,True,False,False,False,512,512,5,8,508,1,320,64,1,5,86272.0,86452.0,83662.0,90804.0
129,laplap,double,naive,True,False,False,False,512,512,5,8,508,1,320,64,1,5,73168.0,72912.0,69926.0,75055.0
130,laplap,single,idxvar,False,False,False,False,512,512,6,8,508,1,384,64,1,6,38248.0,38391.0,37223.0,40028.0
131,laplap,single,idxvar,True,False,False,False,512,512,6,8,508,1,384,64,1,6,50600.0,50462.0,49156.0,52481.0
132,laplap,single,idxvar,True,True,False,False,512,512,6,8,508,1,384,64,1,6,50508.0,50496.0,48984.0,52302.0
133,laplap,single,idxvar,True,False,False,True,512,512,6,8,508,1,384,64,1,6,60958.0,60663.0,58359.0,61851.0
134,laplap,single,idxvar,True,True,False,True,512,512,6,8,508,1,384,64,1,6,59462.0,59373.0,58082.0,61248.0
135,laplap,single,idxvar,True,False,True,False,512,512,6,8,508,1,384,64,1,6,51496.0,51472.0,49995.0,53241.0
136,laplap,single,idxvar,True,False,True,True,512,512,6,8,508,1,384,64,1,6,46571.0,46817.0,45484.0,48247.0
137,laplap,single,idxvar,True,True,True,False,512,512,6,8,508,1,384,64,1,6,52583.0,52752.0,51718.0,54503.0
138,laplap,single,idxvar,True,True,True,True,512,512,6,8,508,1,384,64,1,6,50016.0,50101.0,49044.0,52764.0
139,laplap,single,idxvar-shared,True,False,False,False,512,512,6,8,508,1,384,64,1,6,52910.0,53732.0,51377.0,68320.0
140,laplap,single,idxvar-kloop,True,False,False,False,512,512,6,8,508,1,64,64,1,1,50361.0,50491.0,49455.0,52361.0
141,laplap,single,idxvar-kloop-sliced,True,False,False,False,512,512,6,8,508,1,384,64,1,6,78320.0,78483.0,73740.0,83182.0
142,laplap,single,naive,True,False,False,False,512,512,6,8,508,1,384,64,1,6,66215.0,66248.0,64539.0,69158.0
143,laplap,double,idxvar,False,False,False,False,512,512,6,8,508,1,384,64,1,6,53768.0,53119.0,47834.0,58225.0
144,laplap,double,idxvar,True,False,False,False,512,512,6,8,508,1,384,64,1,6,71584.0,70486.0,64183.0,75568.0
145,laplap,double,idxvar,True,True,False,False,512,512,6,8,508,1,384,64,1,6,71362.0,71055.0,65980.0,74333.0
146,laplap,double,idxvar,True,False,False,True,512,512,6,8,508,1,384,64,1,6,78905.0,77956.0,71903.0,84411.0
147,laplap,double,idxvar,True,True,False,True,512,512,6,8,508,1,384,64,1,6,77530.0,77346.0,73311.0,79909.0
148,laplap,double,idxvar,True,False,True,False,512,512,6,8,508,1,384,64,1,6,72798.0,72250.0,67339.0,76151.0
149,laplap,double,idxvar,True,False,True,True,512,512,6,8,508,1,384,64,1,6,69914.0,69248.0,65612.0,73340.0
150,laplap,double,idxvar,True,True,True,False,512,512,6,8,508,1,384,64,1,6,75973.0,75729.0,72338.0,78365.0
151,laplap,double,idxvar,True,True,True,True,512,512,6,8,508,1,384,64,1,6,74262.0,74101.0,70829.0,76499.0
152,laplap,double,idxvar-shared,True,False,False,False,512,512,6,8,508,1,384,64,1,6,75749.0,75395.0,69823.0,79736.0
153,laplap,double,idxvar-kloop,True,False,False,False,512,512,6,8,508,1,64,64,1,1,72085.0,70999.0,63257.0,74423.0
154,laplap,double,idxvar-kloop-sliced,True,False,False,False,512,512,6,8,508,1,384,64,1,6,102830.0,102567.0,98807.0,104722.0
155,laplap,double,naive,True,False,False,False,512,512,6,8,508,1,384,64,1,6,83347.0,84158.0,81882.0,88246.0
156,laplap,single,idxvar,False,False,False,False,512,512,7,8,508,1,448,64,1,7,43640.0,43445.0,41774.0,44971.0
157,laplap,single,idxvar,True,False,False,False,512,512,7,8,508,1,448,64,1,7,59831.0,59840.0,58033.0,60965.0
158,laplap,single,idxvar,True,True,False,False,512,512,7,8,508,1,448,64,1,7,58445.0,58473.0,57111.0,59774.0
159,laplap,single,idxvar,True,False,False,True,512,512,7,8,508,1,448,64,1,7,64312.0,64571.0,63419.0,65674.0
160,laplap,single,idxvar,True,True,False,True,512,512,7,8,508,1,448,64,1,7,66180.0,66001.0,64793.0,67449.0
